ticker,asset_class,month,monthly_return,rolling_12m_average_return,absolute_move_rank
EFA,Developed international equities,2021-11,-0.045347352284136444,0.009954055343576443,2
EEM,Emerging-market equities,2021-11,-0.04084850253500327,0.0020091022511397236,3
SPY,US equities,2021-11,-0.008034776170907532,0.02097185563085076,4
GLD,Gold,2021-11,-0.006900654313854893,0.0004193878518553111,5
AGG,US aggregate bonds,2021-11,0.002708274446528769,-0.001082025597294987,6
SPY,US equities,2021-12,0.046247643098364266,0.0217384849975736,1
EFA,Developed international equities,2021-12,0.04390949510516906,0.009433672627915094,2
EWC,Canadian equities,2021-12,0.04117643195048637,0.020839328600222955,3
GLD,Gold,2021-12,0.03299097885196378,-0.0026762485829262086,4
EEM,Emerging-market equities,2021-12,0.015070894608541607,-0.002676203657737889,5
AGG,US aggregate bonds,2021-12,-0.0035871760199820413,-0.0014523956517965748,6
SPY,US equities,2022-01,-0.0527411843343224,0.01819259078384376,1
EFA,Developed international equities,2022-01,-0.0363497965868419,0.007055561963748218,2
AGG,US aggregate bonds,2022-01,-0.019986053715775443,-0.002497432667827667,3
GLD,Gold,2022-01,-0.01678761629905634,-0.0013887024568038826,4
EWC,Canadian equities,2022-01,-0.006245136904944104,0.020967412991953677,5
EEM,Emerging-market equities,2022-01,-0.00020474879727383488,-0.005338249317662432,6
GLD,Gold,2022-02,0.06121726006823147,0.00892680369280536,1
EEM,Emerging-market equities,2022-02,-0.043202175442548896,-0.009594978811301743,2
EFA,Developed international equities,2022-02,-0.03429165279016688,0.0023330519350127643,3
SPY,US equities,2022-02,-0.029517052742425554,0.01341568640413878,4
AGG,US aggregate bonds,2022-02,-0.011456126548538781,-0.0021870142303773987,5
EWC,Canadian equities,2022-02,0.0007855300952679389,0.016757292962014197,6
EWC,Canadian equities,2022-03,0.05206693989391131,0.016226233012516217,1
SPY,US equities,2022-03,0.037590462195419505,0.012764939011043216,2
EEM,Emerging-market equities,2022-03,-0.033811398113883784,-0.011807710184720386,3
AGG,US aggregate bonds,2022-03,-0.028122146723909447,-0.003575268535110032,4
GLD,Gold,2022-03,0.012725579865299208,0.010940027587532866,5
EFA,Developed international equities,2022-03,0.005189738483609485,0.000671196934903695,6
SPY,US equities,2022-04,-0.08776902644249918,0.0010416742861055668,1
EWC,Canadian equities,2022-04,-0.07858744523108252,0.005859363245962923,2
EFA,Developed international equities,2022-04,-0.06739141931511339,-0.0074051007082289455,3
EEM,Emerging-market equities,2022-04,-0.06135099644914899,-0.017920174419071466,4
AGG,US aggregate bonds,2022-04,-0.03805886828686533,-0.007356821229168041,5
GLD,Gold,2022-04,-0.020702962215431886,0.0062452900559920215,6
GLD,Gold,2022-05,-0.032615481711254724,-0.0028713149347276055,1
EWC,Canadian equities,2022-05,0.021052709457122898,0.002324981334450471,2
EFA,Developed international equities,2022-05,0.019959326899071206,-0.008643700889001987,3
AGG,US aggregate bonds,2022-05,0.007605800054168332,-0.00689288545798127,4
